unidade,serie,disciplina,aulas_esperadas_semana
CDR,3ª Série,Gramática,2
CDR,3ª Série,História,1
CDR,3ª Série,História 1,1
CDR,3ª Série,História 2,1
CDR,3ª Série,Literatura,2
CDR,3ª Série,Língua Estrangeira Inglês,1
CDR,3ª Série,Matemática 1,2
CDR,3ª Série,Matemática 2,2
CDR,3ª Série,Matemática 3,1
CDR,3ª Série,Projeto de Vida,1
CDR,3ª Série,Química 1,2
CDR,3ª Série,Química 2,1
CDR,3ª Série,Química 3,1
CDR,3ª Série,Redação,3
CDR,3ª Série,Sociologia,1
CDR,6º Ano,Arte,2
CDR,6º Ano,Ciências Naturais,6
CDR,6º Ano,Educação Física,2
CDR,6º Ano,Filosofia,2
CDR,6º Ano,Geografia,4
CDR,6º Ano,História,4
CDR,6º Ano,Língua Estrangeira Inglês,4
CDR,6º Ano,Língua Portuguesa,8
CDR,6º Ano,Matemática,8
CDR,6º Ano,Projeto de Vida,2
CDR,6º Ano,Raciocínio Lógico,2
CDR,6º Ano,Redação,4
CDR,7º Ano,Arte,3
CDR,7º Ano,Ciências Naturais,9
CDR,7º Ano,Educação Física,3
CDR,7º Ano,Filosofia,3
CDR,7º Ano,Geografia,6
CDR,7º Ano,História,9
CDR,7º Ano,Língua Estrangeira Inglês,6
CDR,7º Ano,Língua Portuguesa,12
CDR,7º Ano,Matemática,12
CDR,7º Ano,Raciocínio Lógico,3
CDR,7º Ano,Redação,6
CDR,8º Ano,Arte,2
CDR,8º Ano,Ciências Naturais,6
CDR,8º Ano,Educação Física,2
CDR,8º Ano,Filosofia,2
CDR,8º Ano,Geografia,4
CDR,8º Ano,História,6
CDR,8º Ano,Língua Estrangeira Inglês,4
CDR,8º Ano,Língua Portuguesa,8
CDR,8º Ano,Matemática,10
CDR,8º Ano,Raciocínio Lógico,2
CDR,8º Ano,Redação,4
CDR,9º Ano,Arte,2
CDR,9º Ano,Biologia,2
CDR,9º Ano,Educação Física,2
CDR,9º Ano,Filosofia,2
CDR,9º Ano,Física,2
CDR,9º Ano,Geografia,4
CDR,9º Ano,História,6
CDR,9º Ano,Língua Estrangeira Inglês,4
CDR,9º Ano,Língua Portuguesa,8
CDR,9º Ano,Matemática,10
CDR,9º Ano,Projeto de Vida,2
CDR,9º Ano,Química,2
CDR,9º Ano,Raciocínio Lógico,2
CDR,9º Ano,Redação,4
JG,1ª Série,Arte,2
JG,1ª Série,Biologia 1,4
JG,1ª Série,Biologia 2,2
JG,1ª Série,Educação Física,2
JG,1ª Série,Filosofia,2
JG,1ª Série,Física 1,4
JG,1ª Série,Física 2,2
JG,1ª Série,Geografia,4
JG,1ª Série,Gramática,4
JG,1ª Série,História 1,4
JG,1ª Série,História 2,2
JG,1ª Série,Literatura,4
JG,1ª Série,Língua Estrangeira Inglês,2
JG,1ª Série,Matemática 1,4
JG,1ª Série,Matemática 2,4
JG,1ª Série,Projeto de Vida,2
JG,1ª Série,Química 1,4
JG,1ª Série,Química 2,2
JG,1ª Série,Redação,4
JG,1ª Série,Sociologia,2
JG,2ª Série,Arte,2
JG,2ª Série,Biologia 1,4
JG,2ª Série,Biologia 2,2
JG,2ª Série,Educação Física,2
JG,2ª Série,Filosofia,2
JG,2ª Série,Física 1,4
JG,2ª Série,Física 2,2
JG,2ª Série,Geografia,4
JG,2ª Série,Gramática,4
JG,2ª Série,História 1,4
JG,2ª Série,História 2,2
JG,2ª Série,Literatura,4
JG,2ª Série,Língua Estrangeira Inglês,2
JG,2ª Série,Matemática 1,4
JG,2ª Série,Matemática 2,4
JG,2ª Série,Projeto de Vida,2
JG,2ª Série,Química 1,4
JG,2ª Série,Química 2,2
JG,2ª Série,Redação,4
JG,2ª Série,Sociologia,2
JG,3ª Série,Arte,1
JG,3ª Série,Biologia 1,2
JG,3ª Série,Biologia 2,1
JG,3ª Série,Educação Física,1
JG,3ª Série,Filosofia,1
JG,3ª Série,Física 1,2
JG,3ª Série,Física 2,1
JG,3ª Série,Física 3,1
