ano_mes,empresa,setor_rh,headcount
2023-10,CENTRO DE ENSINO,Clínico,1
2023-11,CENTRO DE ENSINO,Clínico,1
2023-12,CENTRO DE ENSINO,Clínico,1
2024-05,CENTRO DE ENSINO,Clínico,1
2024-08,CENTRO DE ENSINO,Clínico,1
2024-09,CENTRO DE ENSINO,Clínico,1
2024-10,CENTRO DE ENSINO,Clínico,1
2024-11,CENTRO DE ENSINO,Clínico,1
2024-12,CENTRO DE ENSINO,Clínico,1
2025-01,CENTRO DE ENSINO,Clínico,1
2025-02,CENTRO DE ENSINO,Clínico,1
2025-03,CENTRO DE ENSINO,Clínico,1
2025-04,CENTRO DE ENSINO,Clínico,1
2025-05,CENTRO DE ENSINO,Clínico,1
2025-06,CENTRO DE ENSINO,Clínico,1
2025-07,CENTRO DE ENSINO,Clínico,1
2025-08,CENTRO DE ENSINO,Clínico,1
2025-09,CENTRO DE ENSINO,Clínico,1
2025-10,CENTRO DE ENSINO,Clínico,1
2025-11,CENTRO DE ENSINO,Clínico,1
2025-12,CENTRO DE ENSINO,Clínico,1
2026-01,CENTRO DE ENSINO,Clínico,1
2026-02,CENTRO DE ENSINO,Clínico,1
2019-06,CENTRO DE ENSINO,Docente,1
2019-07,CENTRO DE ENSINO,Docente,1
2019-08,CENTRO DE ENSINO,Docente,2
2019-09,CENTRO DE ENSINO,Docente,2
2019-10,CENTRO DE ENSINO,Docente,2
2019-11,CENTRO DE ENSINO,Docente,2
2019-12,CENTRO DE ENSINO,Docente,2
2020-01,CENTRO DE ENSINO,Docente,2
2020-02,CENTRO DE ENSINO,Docente,11
2020-03,CENTRO DE ENSINO,Docente,12
2020-04,CENTRO DE ENSINO,Docente,14
2020-05,CENTRO DE ENSINO,Docente,14
2020-06,CENTRO DE ENSINO,Docente,14
2020-07,CENTRO DE ENSINO,Docente,14
2020-08,CENTRO DE ENSINO,Docente,15
2020-09,CENTRO DE ENSINO,Docente,15
2020-10,CENTRO DE ENSINO,Docente,15
2020-11,CENTRO DE ENSINO,Docente,15
2020-12,CENTRO DE ENSINO,Docente,15
2021-01,CENTRO DE ENSINO,Docente,15
2021-02,CENTRO DE ENSINO,Docente,16
2021-03,CENTRO DE ENSINO,Docente,18
2021-04,CENTRO DE ENSINO,Docente,18
2021-05,CENTRO DE ENSINO,Docente,18
2021-06,CENTRO DE ENSINO,Docente,18
2021-07,CENTRO DE ENSINO,Docente,18
2021-08,CENTRO DE ENSINO,Docente,18
2021-09,CENTRO DE ENSINO,Docente,19
2021-10,CENTRO DE ENSINO,Docente,19
2021-11,CENTRO DE ENSINO,Docente,19
2021-12,CENTRO DE ENSINO,Docente,18
2022-01,CENTRO DE ENSINO,Docente,18
2022-02,CENTRO DE ENSINO,Docente,20
2022-03,CENTRO DE ENSINO,Docente,19
2022-04,CENTRO DE ENSINO,Docente,20
2022-05,CENTRO DE ENSINO,Docente,23
2022-06,CENTRO DE ENSINO,Docente,23
2022-07,CENTRO DE ENSINO,Docente,23
2022-08,CENTRO DE ENSINO,Docente,24
2022-09,CENTRO DE ENSINO,Docente,24
2022-10,CENTRO DE ENSINO,Docente,26
2022-11,CENTRO DE ENSINO,Docente,26
2022-12,CENTRO DE ENSINO,Docente,22
2023-01,CENTRO DE ENSINO,Docente,21
2023-02,CENTRO DE ENSINO,Docente,25
2023-03,CENTRO DE ENSINO,Docente,25
2023-04,CENTRO DE ENSINO,Docente,25
2023-05,CENTRO DE ENSINO,Docente,25
2023-06,CENTRO DE ENSINO,Docente,25
2023-07,CENTRO DE ENSINO,Docente,25
2023-08,CENTRO DE ENSINO,Docente,28
2023-09,CENTRO DE ENSINO,Docente,28
2023-10,CENTRO DE ENSINO,Docente,28
2023-11,CENTRO DE ENSINO,Docente,28
2023-12,CENTRO DE ENSINO,Docente,21
2024-01,CENTRO DE ENSINO,Docente,16
2024-02,CENTRO DE ENSINO,Docente,19
2024-03,CENTRO DE ENSINO,Docente,22
2024-04,CENTRO DE ENSINO,Docente,21
2024-05,CENTRO DE ENSINO,Docente,20
2024-06,CENTRO DE ENSINO,Docente,21
2024-07,CENTRO DE ENSINO,Docente,21
2024-08,CENTRO DE ENSINO,Docente,19
2024-09,CENTRO DE ENSINO,Docente,20
2024-10,CENTRO DE ENSINO,Docente,20
2024-11,CENTRO DE ENSINO,Docente,20
2024-12,CENTRO DE ENSINO,Docente,15
2025-01,CENTRO DE ENSINO,Docente,17
2025-02,CENTRO DE ENSINO,Docente,22
2025-03,CENTRO DE ENSINO,Docente,20
2025-04,CENTRO DE ENSINO,Docente,21
2025-05,CENTRO DE ENSINO,Docente,21
2025-06,CENTRO DE ENSINO,Docente,21
2025-07,CENTRO DE ENSINO,Docente,22
2025-08,CENTRO DE ENSINO,Docente,23
2025-09,CENTRO DE ENSINO,Docente,23
2025-10,CENTRO DE ENSINO,Docente,23
2025-11,CENTRO DE ENSINO,Docente,23
2025-12,CENTRO DE ENSINO,Docente,17
2026-01,CENTRO DE ENSINO,Docente,19
2026-02,CENTRO DE ENSINO,Docente,20
2022-08,CENTRO DE ENSINO,Estagiário,11
2022-09,CENTRO DE ENSINO,Estagiário,11
2022-10,CENTRO DE ENSINO,Estagiário,11
2022-11,CENTRO DE ENSINO,Estagiário,15
2022-12,CENTRO DE ENSINO,Estagiário,15
2023-01,CENTRO DE ENSINO,Estagiário,10
2023-02,CENTRO DE ENSINO,Estagiário,7
2023-03,CENTRO DE ENSINO,Estagiário,7
2023-04,CENTRO DE ENSINO,Estagiário,7
2023-05,CENTRO DE ENSINO,Estagiário,8
2023-06,CENTRO DE ENSINO,Estagiário,7
2023-07,CENTRO DE ENSINO,Estagiário,7
2023-08,CENTRO DE ENSINO,Estagiário,6
2023-09,CENTRO DE ENSINO,Estagiário,6
2023-10,CENTRO DE ENSINO,Estagiário,6
2023-11,CENTRO DE ENSINO,Estagiário,6
2023-12,CENTRO DE ENSINO,Estagiário,6
2024-01,CENTRO DE ENSINO,Estagiário,6
2024-09,CENTRO DE ENSINO,Estagiário,6
2024-10,CENTRO DE ENSINO,Estagiário,12
2024-11,CENTRO DE ENSINO,Estagiário,12
2024-12,CENTRO DE ENSINO,Estagiário,12
2025-01,CENTRO DE ENSINO,Estagiário,10
2025-02,CENTRO DE ENSINO,Estagiário,10
2025-03,CENTRO DE ENSINO,Estagiário,3
2025-04,CENTRO DE ENSINO,Estagiário,4
2025-05,CENTRO DE ENSINO,Estagiário,6
2025-06,CENTRO DE ENSINO,Estagiário,1
2025-07,CENTRO DE ENSINO,Estagiário,1
2025-08,CENTRO DE ENSINO,Estagiário,1
2025-09,CENTRO DE ENSINO,Estagiário,1
2025-10,CENTRO DE ENSINO,Estagiário,1
2025-11,CENTRO DE ENSINO,Estagiário,1
2025-12,CENTRO DE ENSINO,Estagiário,1
2019-08,CENTRO DE ENSINO,Operacional,1
2019-09,CENTRO DE ENSINO,Operacional,2
2019-10,CENTRO DE ENSINO,Operacional,3
2019-11,CENTRO DE ENSINO,Operacional,3
2019-12,CENTRO DE ENSINO,Operacional,3
